QualifiedName,Name,Complexity,Coupling,Size,Lack of Cohesion,CBO,RFC,SRFC,DIT,NOC,WMC,LOC,CMLOC,NOF,NOSF,NOM,NOSM,NORM,LCOM,LCAM,LTCC,ATFD,SI,Coverage,#(C&I),#C,#I,LOC,AC,EC,Abs,Ins,ND,WMC,Coverage,MCC,NBD,LOC,#Pa,#MC,#AF
"<Method>com.example.helloworld.cli.RenderCommand.protected run( Bootstrap, Namespace, HelloWorldConfiguration ): void","run( Bootstrap, Namespace, HelloWorldConfiguration ): void",low,low-medium,low,low,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3,11,3,10,2
<Field>com.example.helloworld.cli.RenderCommand->LOGGER,static final LOGGER : Logger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
<Package>com.example.helloworld.core,com.example.helloworld.core,low,low,low,low,,,,,,17,61,,,,,,,,,,,,,3,3,0,61,12,1,0,0.077,0.923,17,,,,,,,
com.example.helloworld.core.Person,Person,low,low,low,low-medium,0,12,2,1,0,12,45,29,3,0,10,0,0,0.542,0.625,0.511,0,0,,,,,45,,,,,,12,,,,,,,
<Method>com.example.helloworld.core.Person.public Person( ): void,Person( ): void,low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,0,0,0
"<Method>com.example.helloworld.core.Person.public Person( String, String ): void","Person( String, String ): void",low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,3,2,0,2
<Method>com.example.helloworld.core.Person.public equals( Object ): boolean,equals( Object ): boolean,low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,10,1,3,6
<Method>com.example.helloworld.core.Person.public getFullName( ): String,getFullName( ): String,low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,0,0,1
<Method>com.example.helloworld.core.Person.public getId( ): long,getId( ): long,low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,0,0,1
<Method>com.example.helloworld.core.Person.public getJobTitle( ): String,getJobTitle( ): String,low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,0,0,1
<Method>com.example.helloworld.core.Person.public hashCode( ): int,hashCode( ): int,low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,3,0,1,3
<Method>com.example.helloworld.core.Person.public setFullName( String ): void,setFullName( String ): void,low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,1,0,1
<Method>com.example.helloworld.core.Person.public setId( long ): void,setId( long ): void,low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,1,0,1
